Province_Number,Political_Subdivision_Segment,Projected_Longitude,Projected_Latitude,Unprojected_Latitude_Radians,Unprojected_Longitude/Radians
45,1,3791.21,3329.08,0.23646,0.72106
45,1,3793.41,3327.6,0.23641,0.72113
45,1,3795.91,3325.97,0.23636,0.72121
45,1,3798.56,3324.79,0.23632,0.7213
45,1,3801.05,3323.61,0.23628,0.72138
45,1,3803.55,3322.42,0.23624,0.72146
45,1,3806.19,3321.24,0.23621,0.72155
45,1,3808.4,3319.61,0.23615,0.72162
45,1,3810.9,3318.43,0.23611,0.72171
45,1,3813.1,3316.8,0.23606,0.72178
45,1,3815.6,3315.61,0.23602,0.72186
45,1,3817.81,3314.13,0.23597,0.72193
45,1,3820.45,3312.8,0.23593,0.72202
45,1,3822.51,3311.32,0.23588,0.72209
45,1,3824.72,3309.69,0.23583,0.72216
45,1,3826.93,3308.21,0.23578,0.72223
45,1,3829.13,3306.58,0.23573,0.72231
45,1,3831.19,3305.1,0.23568,0.72237
45,1,3832.88,3303.4,0.23562,0.72243
45,1,3832.9,3303.38,0.23562,0.72243
45,1,3832.92,3303.36,0.23562,0.72243
45,1,3832.96,3303.32,0.23562,0.72243
45,1,3832.96,3303.32,0.23562,0.72243
45,1,3833.11,3303.17,0.23561,0.72244
45,1,3835.17,3301.69,0.23557,0.72251
45,1,3837.38,3300.06,0.23551,0.72258
45,1,3839.58,3298.44,0.23546,0.72265
45,1,3841.79,3296.95,0.23541,0.72272
45,1,3844,3295.33,0.23536,0.7228
45,1,3846.06,3293.85,0.23531,0.72286
45,1,3847.83,3291.92,0.23525,0.72292
45,1,3850.03,3290.44,0.2352,0.723
45,1,3851.8,3288.51,0.23513,0.72305
45,1,3854.01,3286.88,0.23508,0.72313
45,1,3856.22,3285.4,0.23503,0.7232
45,1,3858.42,3283.77,0.23498,0.72327
45,1,3860.48,3282.29,0.23493,0.72334
45,1,3863.13,3280.96,0.23489,0.72343
45,1,3864.6,3279.48,0.23484,0.72347
45,1,3866.66,3278,0.23479,0.72354
45,1,3868.87,3276.37,0.23474,0.72362
45,1,3871.08,3274.89,0.23469,0.72369
45,1,3873.29,3273.26,0.23463,0.72376
45,1,3875.35,3271.78,0.23459,0.72383
45,1,3877.56,3270.15,0.23453,0.7239
45,1,3880.2,3268.97,0.23449,0.72399
45,1,3882.41,3267.34,0.23444,0.72406
45,1,3884.91,3266.15,0.2344,0.72414
45,1,3887.41,3264.97,0.23436,0.72423
45,1,3889.62,3263.49,0.23431,0.7243
45,1,3889.91,3263.36,0.23431,0.72431
45,1,3889.91,3263.36,0.23431,0.72431
45,1,3889.91,3263.36,0.23431,0.72431
45,1,3892.26,3262.31,0.23428,0.72439
45,1,3894.76,3260.97,0.23423,0.72447
45,1,3897.26,3259.79,0.23419,0.72455
45,1,3899.91,3258.61,0.23415,0.72464
45,1,3902.41,3257.42,0.23412,0.72472
45,1,3904.62,3255.79,0.23406,0.72479
45,1,3907.11,3254.61,0.23402,0.72488
45,1,3909.32,3253.13,0.23398,0.72495
45,1,3911.53,3251.5,0.23392,0.72502
45,1,3914.03,3250.32,0.23388,0.7251
45,1,3916.24,3248.84,0.23383,0.72518
45,1,3918.45,3247.21,0.23378,0.72525
45,1,3920.66,3245.58,0.23373,0.72532
45,1,3922.72,3244.1,0.23368,0.72539
45,1,3925.36,3242.92,0.23364,0.72548
45,1,3927.57,3241.29,0.23359,0.72555
45,1,3929.63,3239.81,0.23354,0.72562
45,1,3931.84,3238.18,0.23349,0.72569
45,1,3934.05,3236.7,0.23344,0.72576
45,1,3936.26,3235.07,0.23338,0.72584
45,1,3937.73,3234.33,0.23336,0.72588
45,1,3939.8,3232.7,0.23331,0.72595
45,1,3942.44,3231.52,0.23327,0.72604
45,1,3944.65,3230.03,0.23322,0.72611
45,1,3946.71,3228.41,0.23317,0.72618
45,1,3948.92,3226.93,0.23312,0.72625
45,1,3951.13,3225.3,0.23306,0.72633
45,1,3952.9,3223.37,0.233,0.72638
45,1,3955.11,3221.89,0.23295,0.72646
45,1,3956.88,3219.96,0.23289,0.72651
