household_id,household_id2,rural,pw_w3,saq01,saq03,saq06,saq08,hh_s6aq0a,hh_s6aq01,hh_s6aq02
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,Other personal care goods,1,402
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,Charcoal,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,Firewood,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,Kerosene,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,"Cigarettes, tobacco, suret, ga",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,Transport,1,70
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,46,House rent,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,Matches,1,2
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,Batteries,1,60
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,"Candles, incense",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,Laundry soap,1,50
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,Hand soap,1,5
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,Other personal care goods,1,24
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,Charcoal,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,Firewood,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,Kerosene,1,14
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,"Cigarettes, tobacco, suret, ga",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,Transport,1,752
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,61,House rent,1,93
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,91,Matches,1,2
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,91,Batteries,1,16
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,91,"Candles, incense",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,91,Laundry soap,1,20
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,91,Hand soap,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,91,Other personal care goods,2,
