,household_id,household_id2,rural,saq01,saq02,saq03,saq06,saq08,hh_saq09,hh_saq11,hh_saq12
177,1020900602063,10209088800602063,1,1,2,9,6,63,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
178,1020900602083,10209088800602083,1,1,2,9,6,83,9.0,**CONFIDENTIAL**,**CONFIDENTIAL**
179,1020900602091,10209088800602091,1,1,2,9,6,91,8.0,**CONFIDENTIAL**,**CONFIDENTIAL**
180,1020900602104,10209088800602104,1,1,2,9,6,104,9.0,**CONFIDENTIAL**,**CONFIDENTIAL**
181,1020900602123,10209088800602123,1,1,2,9,6,123,8.0,**CONFIDENTIAL**,**CONFIDENTIAL**
182,1020900602142,10209088800602142,1,1,2,9,6,142,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
183,1020900602162,10209088800602162,1,1,2,9,6,162,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
184,1020900602172,10209088800602172,1,1,2,9,6,172,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
185,1020900602182,10209088800602182,1,1,2,9,6,182,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
186,1021200416004,10212010100416004,3,1,2,12,4,4,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
187,1021200416016,10212010100416016,3,1,2,12,4,16,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
188,1021200416028,10212010100416028,3,1,2,12,4,28,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
189,1021200416052,10212010100416052,3,1,2,12,4,52,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
190,1021200416064,10212010100416064,3,1,2,12,4,64,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
191,1021200416076,10212010100416076,3,1,2,12,4,76,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
192,1021200416088,10212010100416088,3,1,2,12,4,88,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
193,1021200416100,10212010100416100,3,1,2,12,4,100,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
194,1021200416124,10212010100416124,3,1,2,12,4,124,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
195,1021200416136,10212010100416136,3,1,2,12,4,136,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
196,1021200416148,10212010100416148,3,1,2,12,4,148,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
197,1021200416160,10212010100416160,3,1,2,12,4,160,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
198,1021200416172,10212010100416172,3,1,2,12,4,172,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
199,1030100204003,10301088800204003,1,1,3,1,2,3,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
200,1030100204012,10301088800204012,1,1,3,1,2,12,8.0,**CONFIDENTIAL**,**CONFIDENTIAL**
201,1030100204013,10301088800204013,1,1,3,1,2,13,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
202,1030100204023,10301088800204023,1,1,3,1,2,23,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
203,1030100204032,10301088800204032,1,1,3,1,2,32,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
204,1030100204047,10301088800204047,1,1,3,1,2,47,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
205,1030100204091,10301088800204091,1,1,3,1,2,91,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
206,1030100204129,10301088800204129,1,1,3,1,2,129,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
207,1030100204139,10301088800204139,1,1,3,1,2,139,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
208,1030100204148,10301088800204148,1,1,3,1,2,148,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
209,1030100204157,10301088800204157,1,1,3,1,2,157,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
210,1030300111002,10303010100111002,3,1,3,3,1,2,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
211,1030300111009,10303010100111009,3,1,3,3,1,9,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
212,1030300111016,10303010100111016,3,1,3,3,1,16,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
213,1030300111023,10303010100111023,3,1,3,3,1,23,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
214,1030300111030,10303010100111030,3,1,3,3,1,30,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
215,1030300111037,10303010100111037,3,1,3,3,1,37,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
216,1030300111044,10303010100111044,3,1,3,3,1,44,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
217,1030300111065,10303010100111065,3,1,3,3,1,65,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
218,1030300111072,10303010100111072,3,1,3,3,1,72,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
219,1030300111079,10303010100111079,3,1,3,3,1,79,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
220,1030300111086,10303010100111086,3,1,3,3,1,86,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
221,1030300111093,10303010100111093,3,1,3,3,1,93,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
222,1030300111100,10303010100111100,3,1,3,3,1,100,8.0,**CONFIDENTIAL**,**CONFIDENTIAL**
223,1030300605002,10303088800605002,1,1,3,3,6,2,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
224,1030300605014,10303088800605014,1,1,3,3,6,14,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
225,1030300605027,10303088800605027,1,1,3,3,6,27,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
226,1030300605036,10303088800605036,1,1,3,3,6,36,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
227,1030300605040,10303088800605040,1,1,3,3,6,40,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
228,1030300605052,10303088800605052,1,1,3,3,6,52,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
229,1030300605066,10303088800605066,1,1,3,3,6,66,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
230,1030300605078,10303088800605078,1,1,3,3,6,78,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
231,1030300605100,10303088800605100,1,1,3,3,6,100,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
232,1030300605107,10303088800605107,1,1,3,3,6,107,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
233,1030300605119,10303088800605119,1,1,3,3,6,119,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
234,1030300605131,10303088800605131,1,1,3,3,6,131,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
